#Release 10.1.03 - par K.39 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Tue Jul 20 12:14:41 2010

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc2vp50
#SPEED GRADE:      -7
#PACKAGE:          ff1152
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
F21,,DIFFS,IO_L49N_0,UNUSED,,0,,,,,,,,,,
F22,,DIFFS,IO_L43N_0,UNUSED,,0,,,,,,,,,,
F23,,DIFFM,IO_L25P_0,UNUSED,,0,,,,,,,,,,
F24,,DIFFS,IO_L19N_0,UNUSED,,0,,,,,,,,,,
F25,,,VCCO_0,,,0,,,,,2.50,,,,,
F26,,DIFFS,IO_L07N_0,UNUSED,,0,,,,,,,,,,
F27,,DIFFS,IO_L02N_7,UNUSED,,7,,,,,,,,,,
F28,,DIFFM,IO_L02P_7,UNUSED,,7,,,,,,,,,,
F29,,,GND,,,,,,,,,,,,,
F30,i_128w_2k_10_r310iadc_led5_adc_clip_ext<0>,IOB,IO_L06N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
F31,i_128w_2k_10_r310iadc_led4_eq_clip_ext<0>,IOB,IO_L06P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
F32,,,VCCO_7,,,7,,,,,2.50,,,,,
F33,,DIFFS,IO_L17N_7,UNUSED,,7,,,,,,,,,,
F34,,DIFFM,IO_L17P_7,UNUSED,,7,,,,,,,,,,
G1,,DIFFM,IO_L20P_2,UNUSED,,2,,,,,,,,,,
G2,,DIFFS,IO_L20N_2,UNUSED,,2,,,,,,,,,,
G3,,DIFFM,IO_L15P_2,UNUSED,,2,,,,,,,,,,
G4,,DIFFS,IO_L15N_2,UNUSED,,2,,,,,,,,,,
G5,,DIFFM,IO_L16P_2,UNUSED,,2,,,,,,,,,,
G6,,DIFFS,IO_L16N_2/VREF_2,UNUSED,,2,,,,,,,,,,
G7,,,GND,,,,,,,,,,,,,
G8,,,NC,,,,,,,,,,,,,
G9,,DIFFS,IO_L02N_1,UNUSED,,1,,,,,,,,,,
G10,,DIFFS,IO_L03N_1/VREF_1,UNUSED,,1,,,,,,,,,,
G11,,DIFFS,IO_L21N_1,UNUSED,,1,,,,,,,,,,
G12,,DIFFM,IO_L25P_1,UNUSED,,1,,,,,,,,,,
G13,,DIFFS,IO_L37N_1,UNUSED,,1,,,,,,,,,,
G14,,DIFFS,IO_L45N_1/VREF_1,UNUSED,,1,,,,,,,,,,
G15,,DIFFM,IO_L55P_1,UNUSED,,1,,,,,,,,,,
G16,,DIFFM,IO_L67P_1,UNUSED,,1,,,,,,,,,,
G17,,DIFFM,IO_L73P_1,UNUSED,,1,,,,,,,,,,
G18,,DIFFS,IO_L73N_0,UNUSED,,0,,,,,,,,,,
G19,,DIFFS,IO_L67N_0,UNUSED,,0,,,,,,,,,,
G20,,DIFFS,IO_L55N_0,UNUSED,,0,,,,,,,,,,
G21,,DIFFM,IO_L45P_0/VREF_0,UNUSED,,0,,,,,,,,,,
G22,,DIFFM,IO_L37P_0,UNUSED,,0,,,,,,,,,,
G23,,DIFFS,IO_L25N_0,UNUSED,,0,,,,,,,,,,
G24,,DIFFM,IO_L21P_0,UNUSED,,0,,,,,,,,,,
G25,,DIFFM,IO_L03P_0/VREF_0,UNUSED,,0,,,,,,,,,,
G26,,DIFFM,IO_L02P_0,UNUSED,,0,,,,,,,,,,
G27,,,DXN,,,,,,,,,,,,,
G28,,,GND,,,,,,,,,,,,,
G29,,DIFFS,IO_L16N_7/VREF_7,UNUSED,,7,,,,,,,,,,
G30,,DIFFM,IO_L16P_7,UNUSED,,7,,,,,,,,,,
G31,,DIFFS,IO_L15N_7,UNUSED,,7,,,,,,,,,,
G32,,DIFFM,IO_L15P_7,UNUSED,,7,,,,,,,,,,
G33,,DIFFS,IO_L20N_7,UNUSED,,7,,,,,,,,,,
G34,,DIFFM,IO_L20P_7,UNUSED,,7,,,,,,,,,,
H1,,DIFFM,IO_L31P_2,UNUSED,,2,,,,,,,,,,
H2,,DIFFS,IO_L31N_2,UNUSED,,2,,,,,,,,,,
H3,,DIFFM,IO_L24P_2,UNUSED,,2,,,,,,,,,,
H4,,DIFFS,IO_L24N_2,UNUSED,,2,,,,,,,,,,
H5,,DIFFM,IO_L19P_2,UNUSED,,2,,,,,,,,,,
H6,,DIFFS,IO_L19N_2,UNUSED,,2,,,,,,,,,,
H7,,,TDO,,,,,,,,,,,,,
H8,,,GND,,,,,,,,,,,,,
H9,,DIFFM,IO_L02P_1,UNUSED,,1,,,,,,,,,,
H10,,DIFFM,IO_L03P_1,UNUSED,,1,,,,,,,,,,
H11,,DIFFM,IO_L21P_1,UNUSED,,1,,,,,,,,,,
H12,,,GND,,,,,,,,,,,,,
H13,,DIFFM,IO_L37P_1,UNUSED,,1,,,,,,,,,,
H14,,DIFFM,IO_L45P_1,UNUSED,,1,,,,,,,,,,
H15,,,GND,,,,,,,,,,,,,
H16,,DIFFS,IO_L57N_1/VREF_1,UNUSED,,1,,,,,,,,,,
H17,,DIFFS,IO_L75N_1/GCLK3P,UNUSED,,1,,,,,,,,,,
H18,,DIFFM,IO_L75P_0/GCLK4S,UNUSED,,0,,,,,,,,,,
H19,,DIFFM,IO_L57P_0/VREF_0,UNUSED,,0,,,,,,,,,,
H20,,,GND,,,,,,,,,,,,,
H21,,DIFFS,IO_L45N_0,UNUSED,,0,,,,,,,,,,
H22,,DIFFS,IO_L37N_0,UNUSED,,0,,,,,,,,,,
H23,,,GND,,,,,,,,,,,,,
H24,,DIFFS,IO_L21N_0,UNUSED,,0,,,,,,,,,,
H25,,DIFFS,IO_L03N_0,UNUSED,,0,,,,,,,,,,
H26,,DIFFS,IO_L02N_0,UNUSED,,0,,,,,,,,,,
H27,,,GND,,,,,,,,,,,,,
H28,,,TDI,,,,,,,,,,,,,
H29,,DIFFS,IO_L19N_7,UNUSED,,7,,,,,,,,,,
H30,,DIFFM,IO_L19P_7,UNUSED,,7,,,,,,,,,,
H31,,DIFFS,IO_L24N_7,UNUSED,,7,,,,,,,,,,
H32,,DIFFM,IO_L24P_7,UNUSED,,7,,,,,,,,,,
H33,,DIFFS,IO_L31N_7,UNUSED,,7,,,,,,,,,,
H34,sram1_address<18>,IOB,IO_L31P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J1,,,GND,,,,,,,,,,,,,
J2,adc0_adc3wire_clk,IOB,IO_L34N_2/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J3,,DIFFM,IO_L22P_2,UNUSED,,2,,,,,,,,,,
J4,,DIFFS,IO_L22N_2/VREF_2,UNUSED,,2,,,,,,,,,,
J5,,DIFFM,IO_L21P_2,UNUSED,,2,,,,,,,,,,
J6,,DIFFS,IO_L21N_2,UNUSED,,2,,,,,,,,,,
J7,,DIFFM,IO_L05P_2,UNUSED,,2,,,,,,,,,,
J8,,DIFFS,IO_L05N_2,UNUSED,,2,,,,,,,,,,
J9,,,TCK,,,,,,,,,,,,,
J10,,DIFFS,IO_L05_1/No_Pair,UNUSED,,1,,,,,,,,,,
J11,,DIFFS,IO_L06N_1,UNUSED,,1,,,,,,,,,,
J12,,DIFFS,IO_L09N_1/VREF_1,UNUSED,,1,,,,,,,,,,
J13,,DIFFS,IO_L27N_1/VREF_1,UNUSED,,1,,,,,,,,,,
J14,,DIFFS,IO_L39N_1,UNUSED,,1,,,,,,,,,,
J15,,DIFFS,IO_L48N_1,UNUSED,,1,,,,,,,,,,
J16,,DIFFM,IO_L57P_1,UNUSED,,1,,,,,,,,,,
J17,,DIFFM,IO_L75P_1/GCLK2S,UNUSED,,1,,,,,,,,,,
J18,,DIFFS,IO_L75N_0/GCLK5P,UNUSED,,0,,,,,,,,,,
J19,,DIFFS,IO_L57N_0,UNUSED,,0,,,,,,,,,,
J20,,DIFFM,IO_L48P_0,UNUSED,,0,,,,,,,,,,
J21,,DIFFM,IO_L39P_0,UNUSED,,0,,,,,,,,,,
J22,,DIFFM,IO_L27P_0/VREF_0,UNUSED,,0,,,,,,,,,,
J23,,DIFFM,IO_L09P_0/VREF_0,UNUSED,,0,,,,,,,,,,
J24,,DIFFM,IO_L06P_0,UNUSED,,0,,,,,,,,,,
J25,,DIFFM,IO_L05_0/No_Pair,UNUSED,,0,,,,,,,,,,
J26,,,PROG_B,,,,,,,,,,,,,
J27,i_128w_2k_10_r310iadc_led7_xaui_overlfow_ext<0>,IOB,IO_L05N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
J28,i_128w_2k_10_r310iadc_led6_link_dn_ext<0>,IOB,IO_L05P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
J29,,DIFFS,IO_L21N_7,UNUSED,,7,,,,,,,,,,
J30,,DIFFM,IO_L21P_7,UNUSED,,7,,,,,,,,,,
J31,,DIFFS,IO_L22N_7/VREF_7,UNUSED,,7,,,,,,,,,,
J32,,DIFFM,IO_L22P_7,UNUSED,,7,,,,,,,,,,
J33,sram1_bw_b<1>,IOB,IO_L34N_7/VREF_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
J34,,,GND,,,,,,,,,,,,,
K1,adc0dataeveni_n<0>,DIFFS,IO_L37N_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,NO,NONE,
K2,adc0_modepin,IOB,IO_L34P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K3,,,GND,,,,,,,,,,,,,
K4,,DIFFM,IO_L33P_2,UNUSED,,2,,,,,,,,,,
K5,,DIFFS,IO_L33N_2,UNUSED,,2,,,,,,,,,,
K6,,,VCCO_2,,,2,,,,,2.50,,,,,
K7,,DIFFM,IO_L23P_2,UNUSED,,2,,,,,,,,,,
K8,,DIFFS,IO_L23N_2,UNUSED,,2,,,,,,,,,,
K9,,,VBATT,,,,,,,,,,,,,
K10,,,TMS,,,,,,,,,,,,,
K11,,DIFFM,IO_L06P_1,UNUSED,,1,,,,,,,,,,
K12,,DIFFM,IO_L09P_1,UNUSED,,1,,,,,,,,,,
K13,,DIFFM,IO_L27P_1,UNUSED,,1,,,,,,,,,,
K14,,DIFFM,IO_L39P_1,UNUSED,,1,,,,,,,,,,
K15,,DIFFM,IO_L48P_1,UNUSED,,1,,,,,,,,,,
K16,,DIFFS,IO_L54N_1,UNUSED,,1,,,,,,,,,,
K17,,DIFFS,IO_L69N_1/VREF_1,UNUSED,,1,,,,,,,,,,
K18,,DIFFM,IO_L69P_0/VREF_0,UNUSED,,0,,,,,,,,,,
K19,,DIFFM,IO_L54P_0,UNUSED,,0,,,,,,,,,,
K20,,DIFFS,IO_L48N_0,UNUSED,,0,,,,,,,,,,
K21,,DIFFS,IO_L39N_0,UNUSED,,0,,,,,,,,,,
K22,,DIFFS,IO_L27N_0,UNUSED,,0,,,,,,,,,,
K23,,DIFFS,IO_L09N_0,UNUSED,,0,,,,,,,,,,
K24,,DIFFS,IO_L06N_0,UNUSED,,0,,,,,,,,,,
K25,,,HSWAP_EN,,,,,,,,,,,,,
K26,,,DXP,,,,,,,,,,,,,
K27,phy_reset_n,IOB,IO_L23N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K28,,DIFFM,IO_L23P_7,UNUSED,,7,,,,,,,,,,
K29,,,VCCO_7,,,7,,,,,2.50,,,,,
K30,sram1_bw_b<3>,IOB,IO_L33N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
K31,sram1_bw_b<2>,IOB,IO_L33P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
K32,,,GND,,,,,,,,,,,,,
K33,sram1_bw_b<0>,IOB,IO_L34P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
K34,sram1_adv_ld_b,IOB,IO_L37N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L1,adc0dataeveni_p<0>,DIFFM,IO_L37P_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,YES,NONE,
L2,,DIFFS,IO_L40N_2/VREF_2,UNUSED,,2,,,,,,,,,,
L3,,DIFFM,IO_L42P_2,UNUSED,,2,,,,,,,,,,
L4,,DIFFS,IO_L42N_2,UNUSED,,2,,,,,,,,,,
L5,,DIFFM,IO_L36P_2,UNUSED,,2,,,,,,,,,,
L6,,DIFFS,IO_L36N_2,UNUSED,,2,,,,,,,,,,
L7,adc0_adc3wire_strobe,IOB,IO_L35P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L8,adc0_adc3wire_data,IOB,IO_L35N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L9,,DIFFM,IO_L18P_2,UNUSED,,2,,,,,,,,,,
L10,,DIFFS,IO_L18N_2,UNUSED,,2,,,,,,,,,,
L11,,,VCCINT,,,,,,,,1.5,,,,,
L12,,,VCCO_1,,,1,,,,,2.50,,,,,
L13,,,VCCO_1,,,1,,,,,2.50,,,,,
L14,,,VCCO_1,,,1,,,,,2.50,,,,,
L15,,,VCCO_1,,,1,,,,,2.50,,,,,
L16,,DIFFM,IO_L54P_1,UNUSED,,1,,,,,,,,,,
L17,,DIFFM,IO_L69P_1,UNUSED,,1,,,,,,,,,,
L18,,DIFFS,IO_L69N_0,UNUSED,,0,,,,,,,,,,
L19,,DIFFS,IO_L54N_0,UNUSED,,0,,,,,,,,,,
L20,,,VCCO_0,,,0,,,,,2.50,,,,,
L21,,,VCCO_0,,,0,,,,,2.50,,,,,
L22,,,VCCO_0,,,0,,,,,2.50,,,,,
L23,,,VCCO_0,,,0,,,,,2.50,,,,,
L24,,,VCCINT,,,,,,,,1.5,,,,,
L25,,DIFFS,IO_L18N_7,UNUSED,,7,,,,,,,,,,
L26,,DIFFM,IO_L18P_7,UNUSED,,7,,,,,,,,,,
L27,sram1_clk,IOB,IO_L35N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
L28,sram1_we_b,IOB,IO_L35P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
L29,sram1_cen_b,IOB,IO_L36N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L30,sram1_oe_b,IOB,IO_L36P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L31,sram1_dq<12>,IOB,IO_L42N_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
L32,sram1_dq<11>,IOB,IO_L42P_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
L33,sram1_dq<16>,IOB,IO_L40N_7/VREF_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
L34,sram1_address<16>,IOB,IO_L37P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
M1,,DIFFS,IO_L46N_2/VREF_2,UNUSED,,2,,,,,,,,,,
M2,,DIFFM,IO_L40P_2,UNUSED,,2,,,,,,,,,,
M3,adc0dataeveni_p<3>,DIFFM,IO_L43P_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,YES,NONE,
M4,adc0dataeveni_n<3>,DIFFS,IO_L43N_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,NO,NONE,
M5,,,GND,,,,,,,,,,,,,
M6,adc0dataeveni_p<1>,DIFFM,IO_L39P_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,YES,NONE,
M7,adc0dataeveni_n<1>,DIFFS,IO_L39N_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,NO,NONE,
M8,,,GND,,,,,,,,,,,,,
M9,adc0dataevenq_p<0>,DIFFM,IO_L32P_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,YES,NONE,
M10,adc0dataevenq_n<0>,DIFFS,IO_L32N_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,NO,NONE,
M11,,,VCCO_2,,,2,,,,,2.50,,,,,
M12,,,VCCINT,,,,,,,,1.5,,,,,
M13,,,VCCO_1,,,1,,,,,2.50,,,,,
M14,,,VCCO_1,,,1,,,,,2.50,,,,,
M15,,,VCCO_1,,,1,,,,,2.50,,,,,
M16,,,VCCO_1,,,1,,,,,2.50,,,,,
M17,,,VCCO_1,,,1,,,,,2.50,,,,,
M18,,,VCCO_0,,,0,,,,,2.50,,,,,
M19,,,VCCO_0,,,0,,,,,2.50,,,,,
M20,,,VCCO_0,,,0,,,,,2.50,,,,,
M21,,,VCCO_0,,,0,,,,,2.50,,,,,
M22,,,VCCO_0,,,0,,,,,2.50,,,,,
M23,,,VCCINT,,,,,,,,1.5,,,,,
M24,,,VCCO_7,,,7,,,,,2.50,,,,,
M25,sram1_address<17>,IOB,IO_L32N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
M26,sram1_ce,IOB,IO_L32P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M27,,,GND,,,,,,,,,,,,,
M28,sram1_address<13>,IOB,IO_L39N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
M29,sram1_dq<17>,IOB,IO_L39P_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
M30,,,GND,,,,,,,,,,,,,
M31,sram1_dq<10>,IOB,IO_L43N_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
M32,sram1_dq<9>,IOB,IO_L43P_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
M33,sram1_dq<15>,IOB,IO_L40P_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
M34,sram1_dq<4>,IOB,IO_L46N_7/VREF_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
N1,,DIFFM,IO_L46P_2,UNUSED,,2,,,,,,,,,,
N2,adc0dataevenq_n<5>,DIFFS,IO_L49N_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,NO,NONE,
N3,,DIFFM,IO_L48P_2,UNUSED,,2,,,,,,,,,,
N4,,DIFFS,IO_L48N_2,UNUSED,,2,,,,,,,,,,
N5,adc0dataevenq_p<7>,DIFFM,IO_L45P_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,YES,NONE,
N6,adc0dataevenq_n<7>,DIFFS,IO_L45N_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,NO,NONE,
N7,adc0dataeveni_p<2>,DIFFM,IO_L41P_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,YES,NONE,
N8,adc0dataeveni_n<2>,DIFFS,IO_L41N_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,NO,NONE,
N9,,DIFFM,IO_L38P_2,UNUSED,,2,,,,,,,,,,
N10,,DIFFS,IO_L38N_2,UNUSED,,2,,,,,,,,,,
N11,,,VCCO_2,,,2,,,,,2.50,,,,,
N12,,,VCCO_2,,,2,,,,,2.50,,,,,
N13,,,VCCINT,,,,,,,,1.5,,,,,
N14,,,VCCINT,,,,,,,,1.5,,,,,
N15,,,VCCINT,,,,,,,,1.5,,,,,
N16,,,VCCINT,,,,,,,,1.5,,,,,
N17,,,VCCINT,,,,,,,,1.5,,,,,
N18,,,VCCINT,,,,,,,,1.5,,,,,
N19,,,VCCINT,,,,,,,,1.5,,,,,
N20,,,VCCINT,,,,,,,,1.5,,,,,
N21,,,VCCINT,,,,,,,,1.5,,,,,
N22,,,VCCINT,,,,,,,,1.5,,,,,
N23,,,VCCO_7,,,7,,,,,2.50,,,,,
N24,,,VCCO_7,,,7,,,,,2.50,,,,,
N25,sram1_address<15>,IOB,IO_L38N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
N26,sram1_address<14>,IOB,IO_L38P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
N27,sram1_dq<14>,IOB,IO_L41N_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
N28,sram1_dq<13>,IOB,IO_L41P_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
N29,sram1_dq<6>,IOB,IO_L45N_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
N30,sram1_dq<5>,IOB,IO_L45P_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
N31,sram1_dq<0>,IOB,IO_L48N_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
N32,sram1_dq<8>,IOB,IO_L48P_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
N33,sram1_address<12>,IOB,IO_L49N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
N34,sram1_dq<3>,IOB,IO_L46P_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
P1,adc0ddrb_n,DIFFS,IO_L55N_2,OUTPUT,LVDS_25,2,,,NONE**,,,LOCATED,,NO,NONE,
P2,adc0dataevenq_p<5>,DIFFM,IO_L49P_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,YES,NONE,
P3,,DIFFM,IO_L52P_2,UNUSED,,2,,,,,,,,,,
P4,,DIFFS,IO_L52N_2/VREF_2,UNUSED,,2,,,,,,,,,,
P5,adc0dataevenq_p<4>,DIFFM,IO_L51P_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,YES,NONE,
P6,adc0dataevenq_n<4>,DIFFS,IO_L51N_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,NO,NONE,
P7,adc0dataevenq_p<6>,DIFFM,IO_L47P_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,YES,NONE,
P8,adc0dataevenq_n<6>,DIFFS,IO_L47N_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,NO,NONE,
P9,,DIFFM,IO_L44P_2,UNUSED,,2,,,,,,,,,,
P10,,DIFFS,IO_L44N_2,UNUSED,,2,,,,,,,,,,
P11,,,VCCO_2,,,2,,,,,2.50,,,,,
P12,,,VCCO_2,,,2,,,,,2.50,,,,,
P13,,,VCCINT,,,,,,,,1.5,,,,,
P14,,,GND,,,,,,,,,,,,,
P15,,,GND,,,,,,,,,,,,,
P16,,,GND,,,,,,,,,,,,,
P17,,,GND,,,,,,,,,,,,,
P18,,,GND,,,,,,,,,,,,,
P19,,,GND,,,,,,,,,,,,,
P20,,,GND,,,,,,,,,,,,,
P21,,,GND,,,,,,,,,,,,,
P22,,,VCCINT,,,,,,,,1.5,,,,,
P23,,,VCCO_7,,,7,,,,,2.50,,,,,
P24,,,VCCO_7,,,7,,,,,2.50,,,,,
P25,sram1_zz,IOB,IO_L44N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P26,sram1_dq<7>,IOB,IO_L44P_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
P27,sram1_dq<2>,IOB,IO_L47N_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
P28,sram1_dq<1>,IOB,IO_L47P_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
P29,sram1_address<8>,IOB,IO_L51N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
P30,sram1_address<7>,IOB,IO_L51P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
P31,sram1_address<6>,IOB,IO_L52N_7/VREF_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
P32,,DIFFM,IO_L52P_7,UNUSED,,7,,,,,,,,,,
P33,sram1_address<11>,IOB,IO_L49P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
P34,sram1_address<1>,IOB,IO_L55N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
R1,adc0ddrb_p,DIFFM,IO_L55P_2,OUTPUT,LVDS_25,2,,,NONE**,,,LOCATED,,NO,NONE,
R2,,DIFFS,IO_L58N_2/VREF_2,UNUSED,,2,,,,,,,,,,
R3,adc0dataeveni_p<4>,DIFFM,IO_L57P_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,YES,NONE,
R4,adc0dataeveni_n<4>,DIFFS,IO_L57N_2,INPUT,LVDS_25_DT,2,,,,NONE,,LOCATED,,NO,NONE,
R5,,,VCCO_2,,,2,,,,,2.50,,,,,
R6,,DIFFM,IO_L54P_2,UNUSED,,2,,,,,,,,,,
R7,,DIFFS,IO_L54N_2,UNUSED,,2,,,,,,,,,,
R8,,,GND,,,,,,,,,,,,,
R9,,DIFFM,IO_L50P_2,UNUSED,,2,,,,,,,,,,
R10,,DIFFS,IO_L50N_2,UNUSED,,2,,,,,,,,,,
R11,,,VCCO_2,,,2,,,,,2.50,,,,,
R12,,,VCCO_2,,,2,,,,,2.50,,,,,
R13,,,VCCINT,,,,,,,,1.5,,,,,
R14,,,GND,,,,,,,,,,,,,
R15,,,GND,,,,,,,,,,,,,
R16,,,GND,,,,,,,,,,,,,
R17,,,GND,,,,,,,,,,,,,
R18,,,GND,,,,,,,,,,,,,
R19,,,GND,,,,,,,,,,,,,
R20,,,GND,,,,,,,,,,,,,
R21,,,GND,,,,,,,,,,,,,
R22,,,VCCINT,,,,,,,,1.5,,,,,
R23,,,VCCO_7,,,7,,,,,2.50,,,,,
R24,,,VCCO_7,,,7,,,,,2.50,,,,,
R25,sram1_address<10>,IOB,IO_L50N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
R26,sram1_address<9>,IOB,IO_L50P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
R27,,,GND,,,,,,,,,,,,,
R28,,DIFFS,IO_L54N_7,UNUSED,,7,,,,,,,,,,
R29,sram1_address<0>,IOB,IO_L54P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
